IDI_OCCUPATION_CLASS,GENDER,AGE_ATTAINED,BASE_ULTIMATE_CTR
4,F,85,0.0867735
4,F,86,0.09579875
4,F,87,0.10555475
4,F,88,0.11609675
4,F,89,0.1273195
4,F,90,0.13909875
4,F,91,0.1515815
4,F,92,0.1648855
4,F,93,0.1790505
4,F,94,0.194088
4,F,95,0.2100275
4,F,96,0.226891
4,F,97,0.251294
4,F,98,0.2844435
4,F,99,0.31804275
4,F,100,0.35165075
4,F,101,0.3847795
4,F,102,0.4168835
4,F,103,0.44682625
4,F,104,0.47469425
4,F,105,0.497825
4,F,106,0.5133
4,F,107,0.5279875
4,F,108,0.5418
4,F,109,0.55465
4,F,110,0.5625
4,F,111,0.5625
4,F,112,0.5625
4,F,113,0.5625
4,F,114,0.5625
4,F,115,0.5625
4,F,116,0.5625
4,F,117,0.5625
4,F,118,0.5625
4,F,119,0.5625
4,F,120,0.45
4,M,32,0.036327722
4,M,33,0.036627951
4,M,34,0.03692818
4,M,35,0.037378524
4,M,36,0.036479468
4,M,37,0.035580413
4,M,38,0.034681358
4,M,39,0.033782303
4,M,40,0.032883248
4,M,41,0.031984192
4,M,42,0.031085137
4,M,43,0.030186082
4,M,44,0.029287027
4,M,45,0.028387972
4,M,46,0.028007738
4,M,47,0.027627505
4,M,48,0.027247272
4,M,49,0.026867039
4,M,50,0.026486805
4,M,51,0.026106572
4,M,52,0.025726339
4,M,53,0.025346106
4,M,54,0.024965872
4,M,55,0.024585639
4,M,56,0.024784689
4,M,57,0.024983738
4,M,58,0.025182788
4,M,59,0.025381838
4,M,60,0.025580888
4,M,61,0.025779937
4,M,62,0.025978987
4,M,63,0.027195325
4,M,64,0.028411663
4,M,65,0.029628001
4,M,66,0.030810091
4,M,67,0.03198948
4,M,68,0.034037798
4,M,69,0.036081473
4,M,70,0.038120504
4,M,71,0.040154893
4,M,72,0.042184638
4,M,73,0.045058174
4,M,74,0.047925165
4,M,75,0.050785613
4,M,76,0.05369981
4,M,77,0.056614008
4,M,78,0.060679375
4,M,79,0.065610516
4,M,80,0.070692225
4,M,81,0.076112715
4,M,82,0.081984913
4,M,83,0.088271176
4,M,84,0.0963
4,M,85,0.1075555
4,M,86,0.12018825
4,M,87,0.13446375
4,M,88,0.15067025
4,M,89,0.16848325
4,M,90,0.1882675
4,M,91,0.2100855
4,M,92,0.23298525
4,M,93,0.2561775
4,M,94,0.2777895
4,M,95,0.29872375
4,M,96,0.32054625
4,M,97,0.343801
4,M,98,0.370681
4,M,99,0.399282
4,M,100,0.427039
4,M,101,0.452861
4,M,102,0.475696
4,M,103,0.49476375
4,M,104,0.51078925
4,M,105,0.5251055
4,M,106,0.5383
4,M,107,0.5489125
4,M,108,0.5552125
4,M,109,0.560025
4,M,110,0.5625
4,M,111,0.5625
4,M,112,0.5625
4,M,113,0.5625
4,M,114,0.5625
4,M,115,0.5625
4,M,116,0.5625
4,M,117,0.5625
4,M,118,0.5625
4,M,119,0.5625
4,M,120,0.45
M,F,32,0.01973468
M,F,33,0.019856499
M,F,34,0.020100137
M,F,35,0.020343775
M,F,36,0.019740583
M,F,37,0.019137391
M,F,38,0.018534199
M,F,39,0.017931007
M,F,40,0.017327815
M,F,41,0.016724622
M,F,42,0.01612143
M,F,43,0.015518238
M,F,44,0.014915046
M,F,45,0.014311854
M,F,46,0.014026009
